symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-02-03 00:00:00+00:00,308.66,313.49,302.22,304.3,43496401,76.2599048222,77.4532416339,74.6687890733,75.1826898121,173985604,0.0,1.0
AAPL,2020-02-04 00:00:00+00:00,318.85,319.64,313.63,315.31,34154134,78.7775243069,78.9727077605,77.4878311067,77.9029047803,136616536,0.0,1.0
AAPL,2020-02-05 00:00:00+00:00,321.45,324.76,318.95,323.52,29706718,79.4199002303,80.2376941944,78.8022310731,79.9313302925,118826872,0.0,1.0
AAPL,2020-02-06 00:00:00+00:00,325.21,325.22,320.26,322.57,26356385,80.3488746427,80.3513453193,79.1258897115,79.6966160127,105425540,0.0,1.0
AAPL,2020-02-07 00:00:00+00:00,320.03,323.4,318.0,322.37,29421012,79.2593062495,80.0939275726,78.7565521586,79.8388355955,117684048,0.77,1.0
AAPL,2020-02-10 00:00:00+00:00,321.55,321.55,313.85,314.18,27337215,79.6357526623,79.6357526623,77.7287543867,77.8104828843,109348860,0.0,1.0
AAPL,2020-02-11 00:00:00+00:00,319.61,323.9,318.71,323.6,23580780,79.1552881617,80.2177586295,78.9323922594,80.1434599954,94323120,0.0,1.0
AAPL,2020-02-12 00:00:00+00:00,327.2,327.22,321.47,321.47,28432573,81.0350436047,81.039996847,79.6159396932,79.6159396932,113730292,0.0,1.0
AAPL,2020-02-13 00:00:00+00:00,324.87,326.22,323.35,324.19,23686892,80.4579908798,80.7923347333,80.081544467,80.2895806425,94747568,0.0,1.0
AAPL,2020-02-14 00:00:00+00:00,324.95,325.98,322.85,324.74,20028447,80.4778038489,80.732895826,79.9577134101,80.425794805,80113788,0.0,1.0
AAPL,2020-02-18 00:00:00+00:00,319.0,319.75,314.61,315.36,38190545,79.0042142723,79.1899608576,77.9169775932,78.1027241784,152762180,0.0,1.0
AAPL,2020-02-19 00:00:00+00:00,323.62,324.57,320.0,320.0,23495991,80.1484132377,80.3836922457,79.251876386,79.251876386,93983964,0.0,1.0
AAPL,2020-02-20 00:00:00+00:00,320.3,324.65,318.21,322.63,25141489,79.3261750202,80.4035052148,78.8085612025,79.9032277451,100565956,0.0,1.0
AAPL,2020-02-21 00:00:00+00:00,313.05,320.45,310.5,318.62,32426415,77.5306246958,79.3633243372,76.8990863058,78.9101026691,129705660,0.0,1.0
AAPL,2020-02-24 00:00:00+00:00,298.18,304.18,289.23,297.26,55548828,73.847889065,75.3338617472,71.6313131473,73.6200399204,222195312,0.0,1.0
AAPL,2020-02-25 00:00:00+00:00,288.08,302.53,286.13,300.95,57668364,71.3465017165,74.9252192596,70.8635605948,74.5339131199,230673456,0.0,1.0
AAPL,2020-02-26 00:00:00+00:00,292.65,297.88,286.5,286.53,49678431,72.4783175762,73.7735904309,70.9551955769,70.9626254403,198713724,0.0,1.0
AAPL,2020-02-27 00:00:00+00:00,273.52,286.0,272.96,281.1,80151381,67.740541341,70.83136452,67.6018505573,69.6178201629,320605524,0.0,1.0
AAPL,2020-02-28 00:00:00+00:00,273.36,278.41,256.37,257.26,106721230,67.7009154028,68.951609077,63.4931360909,63.7135553721,426884920,0.0,1.0
AAPL,2020-03-02 00:00:00+00:00,298.81,301.44,277.72,282.28,85349339,74.0039161966,74.6552675557,68.7807222185,69.910061457,341397356,0.0,1.0
AAPL,2020-03-03 00:00:00+00:00,289.32,304.0,285.8,303.67,79868852,71.6536027375,75.2892825667,70.7818320973,75.2075540692,319475408,0.0,1.0
AAPL,2020-03-04 00:00:00+00:00,302.74,303.4,293.13,296.44,54794568,74.9772283035,75.1406852985,72.5971953908,73.4169569871,219178272,0.0,1.0
AAPL,2020-03-05 00:00:00+00:00,292.92,299.55,291.41,295.52,46893219,72.5451863469,74.1871861607,72.1712165552,73.1891078425,187572876,0.0,1.0
AAPL,2020-03-06 00:00:00+00:00,289.03,290.82,281.23,282.0,56544246,71.5817807246,72.0250959081,69.6500162376,69.8407160652,226176984,0.0,1.0
AAPL,2020-03-09 00:00:00+00:00,266.17,278.09,263.0,263.75,71686208,65.9202248052,68.8723572006,65.1351359048,65.3208824901,286744832,0.0,1.0
AAPL,2020-03-10 00:00:00+00:00,285.34,286.44,269.37,277.14,71322520,70.667907525,70.9403358501,66.7127435691,68.6370781926,285290080,0.0,1.0
AAPL,2020-03-11 00:00:00+00:00,275.43,281.22,271.86,277.39,64094970,68.2135759781,69.6475396165,67.3294222322,68.698993721,256379880,0.0,1.0
AAPL,2020-03-12 00:00:00+00:00,248.23,270.0,248.0,255.94,104618517,61.4771664853,66.8687707007,61.4202041992,63.386641382,418474068,0.0,1.0
AAPL,2020-03-13 00:00:00+00:00,277.97,279.92,252.95,264.89,92683032,68.842637747,69.3255788687,62.646131662,65.6032172997,370732128,0.0,1.0
AAPL,2020-03-16 00:00:00+00:00,242.21,259.08,240.0,241.95,80605865,59.9862405608,64.164300419,59.4389072895,59.9218484113,322423460,0.0,1.0
AAPL,2020-03-17 00:00:00+00:00,252.86,257.61,238.4,247.51,81013965,62.6238420718,63.8002371119,59.0426479076,61.2988497635,324055860,0.0,1.0
AAPL,2020-03-18 00:00:00+00:00,246.67,250.0,237.12,239.77,75058406,61.090813588,61.9155284266,58.7256404021,59.3819450034,300233624,0.0,1.0
AAPL,2020-03-19 00:00:00+00:00,244.78,252.84,242.61,247.39,67964255,60.622732193,62.6188888295,60.0853054063,61.2691303098,271857020,0.0,1.0
AAPL,2020-03-20 00:00:00+00:00,229.24,251.83,228.0,247.18,100423346,56.774062946,62.3687500947,56.4669619251,61.2171212659,401693384,0.0,1.0
AAPL,2020-03-23 00:00:00+00:00,224.37,228.5,212.61,228.08,84188208,55.5679484523,56.5907929819,52.6554419951,56.4867748942,336752832,0.0,1.0
AAPL,2020-03-24 00:00:00+00:00,246.88,247.69,234.3,236.36,71882773,61.1428226318,61.3434289439,58.0272332414,58.5374171956,287531092,0.0,1.0
AAPL,2020-03-25 00:00:00+00:00,245.52,258.25,244.3,250.75,75900510,60.8060021572,63.9587408647,60.5038543785,62.1012750119,303602040,0.0,1.0
AAPL,2020-03-26 00:00:00+00:00,258.44,258.68,246.36,246.52,63140169,64.0057966663,64.0652355736,61.0140383327,61.0536642709,252560676,0.0,1.0
AAPL,2020-03-27 00:00:00+00:00,247.74,255.87,247.05,252.75,51054153,61.3558120496,63.3693050341,61.1849251912,62.5965992393,204216612,0.0,1.0
AAPL,2020-03-30 00:00:00+00:00,254.81,255.52,249.4,250.74,41994110,63.1067831935,63.2826232943,61.7669311584,62.0987983907,167976440,0.0,1.0
AAPL,2020-03-31 00:00:00+00:00,254.29,262.49,252.0,255.6,49250501,62.9779988944,65.0088282268,62.410852654,63.3024362633,197002004,0.0,1.0
AAPL,2020-04-01 00:00:00+00:00,240.91,248.72,239.13,246.5,44054638,59.664279813,61.5985209211,59.2234412506,61.0487110286,176218552,0.0,1.0
AAPL,2020-04-02 00:00:00+00:00,244.93,245.15,236.9,240.34,41483493,60.6598815101,60.7143671751,58.671154737,59.5231124082,165933972,0.0,1.0
AAPL,2020-04-03 00:00:00+00:00,241.41,245.7,238.97,242.8,32470017,59.7881108699,60.8505813377,59.1838153124,60.1323612079,129880068,0.0,1.0
AAPL,2020-04-06 00:00:00+00:00,262.47,263.11,249.38,250.9,50455071,65.0038749845,65.1623787373,61.7619779161,62.1384243289,201820284,0.0,1.0
AAPL,2020-04-07 00:00:00+00:00,259.43,271.7,259.0,270.8,50721831,64.2509821588,67.289796294,64.14448745,67.0669003917,202887324,0.0,1.0
AAPL,2020-04-08 00:00:00+00:00,266.07,267.37,261.23,262.74,42223821,65.8954585939,66.2174193417,64.6967739635,65.0707437552,168895284,0.0,1.0
AAPL,2020-04-09 00:00:00+00:00,267.99,270.07,264.7,268.7,40529123,66.3709698522,66.8861070487,65.5561614981,66.5468099529,162116492,0.0,1.0
AAPL,2020-04-13 00:00:00+00:00,273.25,273.7,265.83,268.31,32755731,67.6736725703,67.7851205214,65.8360196866,66.4502217286,131022924,0.0,1.0
AAPL,2020-04-14 00:00:00+00:00,287.05,288.25,278.05,280.0,48748672,71.0914097394,71.3886042759,68.8624507161,69.3453918378,194994688,0.0,1.0
AAPL,2020-04-15 00:00:00+00:00,284.43,286.33,280.63,282.4,32788641,70.4425350015,70.9130930175,69.5014189694,69.9397809107,131154564,0.0,1.0
AAPL,2020-04-16 00:00:00+00:00,286.69,288.2,282.35,287.38,39281290,71.0022513785,71.3762211702,69.927397805,71.1731382369,157125160,0.0,1.0
AAPL,2020-04-17 00:00:00+00:00,282.8,286.95,276.86,284.69,53812478,70.0388457562,71.066643528,68.5677328007,70.5069271511,215249912,0.0,1.0
AAPL,2020-04-20 00:00:00+00:00,276.93,281.68,276.85,277.95,32503750,68.5850691487,69.7614641888,68.5652561796,68.8376845047,130015000,0.0,1.0
AAPL,2020-04-21 00:00:00+00:00,268.37,277.25,265.43,276.28,45247893,66.4650814554,68.6643210251,65.7369548411,68.4240887748,180991572,0.0,1.0
AAPL,2020-04-22 00:00:00+00:00,276.1,277.9,272.2,273.61,29264342,68.3795095943,68.825301399,67.4136273509,67.7628309312,117057368,0.0,1.0
AAPL,2020-04-23 00:00:00+00:00,275.03,281.75,274.87,275.87,31203582,68.1145111327,69.7788005368,68.0748851945,68.3225473082,124814328,0.0,1.0
AAPL,2020-04-24 00:00:00+00:00,282.97,283.01,277.0,277.2,31627183,70.0809483155,70.0908548,68.6024054967,68.6519379194,126508732,0.0,1.0
AAPL,2020-04-27 00:00:00+00:00,283.17,284.54,279.95,281.8,29271893,70.1304807382,70.469777834,69.3330087321,69.7911836425,117087572,0.0,1.0
AAPL,2020-04-28 00:00:00+00:00,278.58,285.83,278.2,285.08,28001187,68.9937116363,70.7892619607,68.8996000331,70.6035153754,112004748,0.0,1.0
AAPL,2020-04-29 00:00:00+00:00,287.73,289.67,283.89,284.73,34320204,71.2598199767,71.7402844773,70.3087974601,70.5168336356,137280816,0.0,1.0
AAPL,2020-04-30 00:00:00+00:00,293.8,294.53,288.35,289.96,45765968,72.7631290069,72.9439223499,71.4133704872,71.8121064903,183063872,0.0,1.0
AAPL,2020-05-01 00:00:00+00:00,289.07,299.0,285.85,286.25,60154175,71.5916872091,74.0509719982,70.794215203,70.8932800485,240616700,0.0,1.0
AAPL,2020-05-04 00:00:00+00:00,293.16,293.69,286.32,289.17,33391986,72.6046252542,72.7358861744,70.9106163964,71.6164534205,133567944,0.0,1.0
AAPL,2020-05-05 00:00:00+00:00,297.56,301.0,294.46,295.06,36937795,73.6943385545,74.5462962256,72.926586002,73.0751832702,147751180,0.0,1.0
AAPL,2020-05-06 00:00:00+00:00,300.63,303.24,298.87,300.46,35583438,74.4546612435,75.1010593603,74.0187759234,74.4125586842,142333752,0.0,1.0
AAPL,2020-05-07 00:00:00+00:00,303.74,305.17,301.97,303.22,28803764,75.2248904172,75.5790472398,74.7865284759,75.096106118,115215056,0.0,1.0
AAPL,2020-05-08 00:00:00+00:00,310.13,310.35,304.29,305.64,33511985,77.010534257,77.065163985,75.5603632962,75.8955911724,134047940,0.82,1.0
AAPL,2020-05-11 00:00:00+00:00,315.01,317.05,307.24,308.1,36486561,78.2223209502,78.7288875187,76.292898285,76.506450858,145946244,0.0,1.0
AAPL,2020-05-12 00:00:00+00:00,311.41,319.69,310.91,317.83,40575263,77.328379947,79.3844442544,77.2042214744,78.9225747361,162301052,0.0,1.0
AAPL,2020-05-13 00:00:00+00:00,307.65,315.95,303.21,312.15,50155639,76.3947082326,78.4557388789,75.2921809953,77.5121344866,200622556,0.0,1.0
AAPL,2020-05-14 00:00:00+00:00,309.54,309.79,301.53,304.51,39732269,76.8640272592,76.9261064956,74.8750085271,75.6149930242,158929076,0.0,1.0
