symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,1980-12-12 00:00:00+00:00,28.75,28.87,28.75,28.75,2093900,0.1010014026,0.1014229737,0.1010014026,0.1010014026,469034069,0.0,1.0
AAPL,1980-12-15 00:00:00+00:00,27.25,27.38,27.25,27.38,785200,0.0957317642,0.0961884662,0.0957317642,0.0961884662,175884975,0.0,1.0
AAPL,1980-12-16 00:00:00+00:00,25.25,25.37,25.25,25.37,472000,0.0887055797,0.0891271508,0.0887055797,0.0891271508,105728105,0.0,1.0
AAPL,1980-12-17 00:00:00+00:00,25.87,26.0,25.87,25.87,385900,0.0908836969,0.0913403989,0.0908836969,0.0908836969,86441686,0.0,1.0
AAPL,1980-12-18 00:00:00+00:00,26.63,26.75,26.63,26.63,327900,0.093553647,0.0939752181,0.093553647,0.093553647,73449673,0.0,1.0
AAPL,1980-12-19 00:00:00+00:00,28.25,28.38,28.25,28.25,217100,0.0992448565,0.0997015585,0.0992448565,0.0992448565,48630448,0.0,1.0
AAPL,1980-12-22 00:00:00+00:00,29.63,29.75,29.63,29.63,166800,0.1040929238,0.1045144949,0.1040929238,0.1040929238,37363237,0.0,1.0
AAPL,1980-12-23 00:00:00+00:00,30.88,31.0,30.88,30.88,209600,0.1084842891,0.1089058602,0.1084842891,0.1084842891,46950446,0.0,1.0
AAPL,1980-12-24 00:00:00+00:00,32.5,32.63,32.5,32.5,214300,0.1141754986,0.1146322006,0.1141754986,0.1141754986,48003248,0.0,1.0
AAPL,1980-12-26 00:00:00+00:00,35.5,35.62,35.5,35.5,248100,0.1247147754,0.1251363465,0.1247147754,0.1247147754,55574455,0.0,1.0
AAPL,1980-12-29 00:00:00+00:00,36.0,36.13,36.0,36.0,415900,0.1264713215,0.1269280235,0.1264713215,0.1264713215,93161693,0.0,1.0
AAPL,1980-12-30 00:00:00+00:00,35.12,35.25,35.12,35.25,307500,0.1233798004,0.1238365023,0.1233798004,0.1238365023,68880068,0.0,1.0
AAPL,1980-12-31 00:00:00+00:00,34.13,34.25,34.13,34.25,159600,0.119901839,0.1203234101,0.119901839,0.1203234101,35750435,0.0,1.0
AAPL,1981-01-02 00:00:00+00:00,34.5,34.75,34.5,34.5,96700,0.1212016831,0.1220799562,0.1212016831,0.1212016831,21660821,0.0,1.0
AAPL,1981-01-05 00:00:00+00:00,33.75,33.87,33.75,33.87,159500,0.1185668639,0.118988435,0.1185668639,0.118988435,35728035,0.0,1.0
AAPL,1981-01-06 00:00:00+00:00,32.25,32.37,32.25,32.37,201600,0.1132972256,0.1137187966,0.1132972256,0.1137187966,45158445,0.0,1.0
AAPL,1981-01-07 00:00:00+00:00,30.88,31.0,30.88,31.0,248600,0.1084842891,0.1089058602,0.1084842891,0.1089058602,55686455,0.0,1.0
AAPL,1981-01-08 00:00:00+00:00,30.25,30.37,30.25,30.37,177800,0.106271041,0.1066926121,0.106271041,0.1066926121,39827239,0.0,1.0
AAPL,1981-01-09 00:00:00+00:00,31.88,32.0,31.88,31.88,96000,0.1119973814,0.1124189525,0.1119973814,0.1119973814,21504021,0.0,1.0
AAPL,1981-01-12 00:00:00+00:00,31.62,31.88,31.62,31.88,105800,0.1110839774,0.1119973814,0.1110839774,0.1119973814,23699223,0.0,1.0
AAPL,1981-01-13 00:00:00+00:00,30.5,30.63,30.5,30.63,102900,0.1071493141,0.1076060161,0.1071493141,0.1076060161,23049623,0.0,1.0
